日期,销量
2017-01-01,369
2017-01-02,365
2017-01-03,370
2017-01-04,381
2017-01-05,375
2017-01-06,369
2017-01-07,357
2017-01-08,371
2017-01-09,423
2017-01-10,363
2017-01-11,361
2017-01-12,441
2017-01-13,379
2017-01-14,410
2017-01-15,371
2017-01-16,437
2017-01-17,445
2017-01-18,427
2017-01-19,408
2017-01-20,454
2017-01-21,420
2017-01-22,457
2017-01-23,449
2017-01-24,488
2017-01-25,491
2017-01-26,463
2017-01-27,444
2017-01-28,442
2017-01-29,488
2017-01-30,479
2017-01-31,480
2017-02-01,546
2017-02-02,549
2017-02-03,502
2017-02-04,478
2017-02-05,489
2017-02-06,493
2017-02-07,501
2017-02-08,511
2017-02-09,575
2017-02-10,554
2017-02-11,546
2017-02-12,557
2017-02-13,552
2017-02-14,573
2017-02-15,613
2017-02-16,581
2017-02-17,552
2017-02-18,600
2017-02-19,609
2017-02-20,620
2017-02-21,562
2017-02-22,624
2017-02-23,593
2017-02-24,605
2017-02-25,626
2017-02-26,675
2017-02-27,595
2017-02-28,653
2017-03-01,624
2017-03-02,666
2017-03-03,623
2017-03-04,701
2017-03-05,631
2017-03-06,703
2017-03-07,643
2017-03-08,688
2017-03-09,704
2017-03-10,678
2017-03-11,684
2017-03-12,747
2017-03-13,732
2017-03-14,699
2017-03-15,718
2017-03-16,678
2017-03-17,743
2017-03-18,775
2017-03-19,731
2017-03-20,730
2017-03-21,725
2017-03-22,731
2017-03-23,782
2017-03-24,750
2017-03-25,754
2017-03-26,729
2017-03-27,738
2017-03-28,808
2017-03-29,833
2017-03-30,793
2017-03-31,757
2017-04-01,781
2017-04-02,819
2017-04-03,834
2017-04-04,839
2017-04-05,830
2017-04-06,838
2017-04-07,788
2017-04-08,856
2017-04-09,830
2017-04-10,800
2017-04-11,809
2017-04-12,833
2017-04-13,839
2017-04-14,863
2017-04-15,835
2017-04-16,872
2017-04-17,929
2017-04-18,912
2017-04-19,863
2017-04-20,896
2017-04-21,893
2017-04-22,926
2017-04-23,915
2017-04-24,879
2017-04-25,933
2017-04-26,946
2017-04-27,934
2017-04-28,890
2017-04-29,932
2017-04-30,942
2017-05-01,977
2017-05-02,922
2017-05-03,1002
2017-05-04,973
2017-05-05,926
2017-05-06,995
2017-05-07,992
2017-05-08,1000
2017-05-09,952
2017-05-10,977
2017-05-11,1047
2017-05-12,1045
2017-05-13,979
2017-05-14,1001
2017-05-15,994
2017-05-16,992
2017-05-17,982
2017-05-18,994
2017-05-19,1017
2017-05-20,1013
2017-05-21,1092
2017-05-22,1066
2017-05-23,1059
2017-05-24,1040
2017-05-25,1090
2017-05-26,1119
2017-05-27,1115
2017-05-28,1067
2017-05-29,1118
2017-05-30,1110
2017-05-31,1064
2017-06-01,1083
2017-06-02,1144
2017-06-03,1163
2017-06-04,1101
2017-06-05,1117
2017-06-06,1143
2017-06-07,1174
2017-06-08,1144
2017-06-09,1167
2017-06-10,1145
2017-06-11,1138
2017-06-12,1183
2017-06-13,1119
2017-06-14,1142
2017-06-15,1216
2017-06-16,1189
2017-06-17,1171
2017-06-18,1144
2017-06-19,1174
2017-06-20,1153
2017-06-21,1211
2017-06-22,1199
2017-06-23,1208
2017-06-24,1258
2017-06-25,1220
2017-06-26,1212
2017-06-27,1213
2017-06-28,1238
2017-06-29,1252
2017-06-30,1286
2017-07-01,1219
2017-07-02,1234
2017-07-03,1224
2017-07-04,1284
2017-07-05,1286
2017-07-06,1327
2017-07-07,1323
2017-07-08,1263
2017-07-09,1270
2017-07-10,1308
2017-07-11,1256
2017-07-12,1278
2017-07-13,1306
2017-07-14,1291
2017-07-15,1368
2017-07-16,1291
2017-07-17,1351
2017-07-18,1310
2017-07-19,1328
2017-07-20,1315
2017-07-21,1401
2017-07-22,1316
2017-07-23,1388
2017-07-24,1327
2017-07-25,1325
2017-07-26,1338
2017-07-27,1354
2017-07-28,1389
2017-07-29,1423
2017-07-30,1368
2017-07-31,1401
2017-08-01,1411
2017-08-02,1449
2017-08-03,1442
2017-08-04,1379
2017-08-05,1432
2017-08-06,1394
2017-08-07,1459
2017-08-08,1492
2017-08-09,1413
2017-08-10,1448
2017-08-11,1500
2017-08-12,1469
2017-08-13,1427
2017-08-14,1446
2017-08-15,1482
2017-08-16,1483
2017-08-17,1522
2017-08-18,1495
2017-08-19,1548
2017-08-20,1458
2017-08-21,1473
2017-08-22,1493
2017-08-23,1520
2017-08-24,1503
2017-08-25,1490
2017-08-26,1487
2017-08-27,1516
2017-08-28,1504
2017-08-29,1513
2017-08-30,1522
2017-08-31,1589
2017-09-01,1541
2017-09-02,1555
2017-09-03,1581
2017-09-04,1621
2017-09-05,1595
2017-09-06,1624
2017-09-07,1587
2017-09-08,1609
2017-09-09,1591
2017-09-10,1575
2017-09-11,1648
2017-09-12,1661
2017-09-13,1596
2017-09-14,1655
2017-09-15,1631
2017-09-16,1600
2017-09-17,1631
2017-09-18,1674
2017-09-19,1633
2017-09-20,1629
2017-09-21,1698
2017-09-22,1694
2017-09-23,1664
2017-09-24,1674
2017-09-25,1652
2017-09-26,1668
2017-09-27,1710
2017-09-28,1747
2017-09-29,1742
2017-09-30,1692
2017-10-01,1704
2017-10-02,1710
2017-10-03,1681
2017-10-04,1743
2017-10-05,1694
2017-10-06,1766
2017-10-07,1714
2017-10-08,1756
2017-10-09,1723
2017-10-10,1770
2017-10-11,1771
2017-10-12,1720
2017-10-13,1818
2017-10-14,1758
2017-10-15,1747
2017-10-16,1827
2017-10-17,1831
2017-10-18,1797
2017-10-19,1763
2017-10-20,1771
2017-10-21,1817
2017-10-22,1825
2017-10-23,1812
2017-10-24,1866
2017-10-25,1882
2017-10-26,1811
2017-10-27,1836
2017-10-28,1826
2017-10-29,1811
2017-10-30,1856
2017-10-31,1906
2017-11-01,1837
2017-11-02,1826
2017-11-03,1918
2017-11-04,1917
2017-11-05,1874
2017-11-06,1912
2017-11-07,1927
2017-11-08,1861
2017-11-09,1942
2017-11-10,1915
2017-11-11,1959
2017-11-12,1970
2017-11-13,1971
2017-11-14,1971
2017-11-15,1950
2017-11-16,1975
2017-11-17,1907
2017-11-18,1946
2017-11-19,1928
2017-11-20,1983
2017-11-21,1949
2017-11-22,1951
2017-11-23,1974
2017-11-24,1965
2017-11-25,1994
2017-11-26,2010
2017-11-27,1968
2017-11-28,1999
2017-11-29,1990
2017-11-30,1988
2017-12-01,2045
2017-12-02,2038
2017-12-03,1991
2017-12-04,2013
2017-12-05,2074
2017-12-06,2053
2017-12-07,2014
2017-12-08,2099
2017-12-09,2056
2017-12-10,2063
2017-12-11,2044
2017-12-12,2047
2017-12-13,2076
2017-12-14,2040
2017-12-15,2093
2017-12-16,2144
2017-12-17,2057
2017-12-18,2115
2017-12-19,2096
2017-12-20,2136
2017-12-21,2075
2017-12-22,2132
2017-12-23,2146
2017-12-24,2128
2017-12-25,2126
2017-12-26,2174
2017-12-27,2119
2017-12-28,2197
2017-12-29,2155
2017-12-30,2178
2017-12-31,2131
